gene,alt_frac,is_tf
A0A1B0GTW7,0.2,False
A0AUZ9,0.47058823529411764,False
A0AV02,0.3333333333333333,False
A0AVF1,0.19230769230769232,False
A0AVT1,0.5217391304347826,False
A0JP26,0.4444444444444444,False
A0MZ66,0.35064935064935066,False
A0PJE2,0.375,False
A0PJK1,0.3055555555555556,False
A0PJY2,0.3333333333333333,True
A1A4V9,0.6923076923076923,False
A1A519,0.45454545454545453,True
A1A5C7,1.0,False
A1L390,0.06666666666666667,False
A1XBS5,0.42857142857142855,False
A1Z1Q3,0.7272727272727273,False
A2A2Y4,1.0,False
A2AJT9,0.09090909090909091,False
A2RRH5,0.14285714285714285,False
A2RRL7,1.0,False
A2RTY3,0.3333333333333333,False
A2RU30,0.5384615384615384,False
A2RU49,0.4,False
A2RUB6,0.09090909090909091,False
A2RUS2,0.06976744186046512,False
A2VDJ0,0.08571428571428572,False
A3KMH1,0.323943661971831,False
A3KN83,0.06451612903225806,False
A4D161,0.5,False
A4D1E9,0.8636363636363636,False
A4D1P6,0.21428571428571427,False
A4FU01,0.23529411764705882,False
A4FU49,0.2682926829268293,False
A4FU69,0.4117647058823529,False
A4UGR9,0.52,False
A5D8W1,0.7222222222222222,False
A5PL33,0.16129032258064516,False
A5PLN7,0.38461538461538464,False
A5PLN9,0.28,False
A5X5Y0,0.48717948717948717,False
A5YKK6,0.3411764705882353,False
A5YM72,0.64,False
A6BM72,0.09523809523809523,False
A6H8Z2,0.6,False
A6NC86,0.7692307692307693,False
A6NCI4,0.7560975609756098,False
A6NDV4,0.38461538461538464,False
A6NDY0,0.38461538461538464,False
A6NFC5,0.5,False
A6NFQ2,0.42857142857142855,False
A6NFR6,0.5555555555555556,False
A6NI73,0.38461538461538464,False
A6NJ78,0.7647058823529411,False
A6NKB5,0.6363636363636364,False
A6NNP5,0.5161290322580645,False
A6PVS8,0.8,False
A6QL63,0.9253731343283582,False
A7E2V4,0.038461538461538464,False
A7KAX9,0.35294117647058826,False
A8K0R7,0.3333333333333333,False
A8K830,0.75,False
A8K8P3,0.08943089430894309,False
A8K979,0.5428571428571428,False
A8MPS7,1.0,False
A8MPX8,0.6666666666666666,False
A8MQ27,0.7692307692307693,False
A8MT69,0.7692307692307693,True
A8MT70,0.1111111111111111,False
A8MTZ0,1.0,False
A8MVW5,0.3,False
A8MW92,0.6296296296296297,False
A8MWY0,0.14285714285714285,False
A9UHW6,0.11764705882352941,False
B2RTY4,0.012345679012345678,False
B4DS77,1.0,False
B7ZAQ6,0.8125,False
C9JH25,0.3333333333333333,False
E5RJM6,1.0,False
M0R2J8,0.8125,False
O00139,0.13559322033898305,False
O00141,0.26229508196721313,False
O00142,0.4318181818181818,False
O00148,0.34782608695652173,False
O00154,0.3225806451612903,False
O00159,0.05263157894736842,False
O00165,1.0,False
O00167,0.07142857142857142,False
O00182,0.38461538461538464,False
O00206,0.6,False
O00213,0.25925925925925924,False
O00222,0.4444444444444444,False
O00233,0.8125,False
O00291,0.07692307692307693,False
O00305,0.25925925925925924,False
O00308,1.0,False
O00327,0.26666666666666666,True
O00330,0.5294117647058824,False
O00339,0.1509433962264151,False
O00408,0.3055555555555556,False
O00410,0.05660377358490566,False
O00429,0.125,False
O00444,0.15217391304347827,False
O00451,0.375,False
O00453,1.0,False
O00463,0.3333333333333333,False
O00469,0.5714285714285714,False
O00481,0.3333333333333333,False
O00482,0.42857142857142855,True
O00499,0.29239766081871343,False
O00506,0.3,False
O00522,0.03225806451612903,False
O00534,0.38461538461538464,False
O00555,0.08695652173913043,False
O00560,0.375,False
O00624,0.3225806451612903,False
O00712,0.6785714285714286,True
O00743,0.42857142857142855,False
O00748,0.25,False
O00762,0.8181818181818182,False
O00764,0.23809523809523808,False
O14490,0.391304347826087,False
O14497,0.1864406779661017,False
O14511,0.6949152542372882,False
O14513,0.058823529411764705,False
O14521,1.0,False
O14525,0.16176470588235295,False
